operator_name	operator_icao	operator_iata
Trans Mediterranean Airlines	TMA	TL
T'way Air	TWB	TW
Terra Avia	TVR	T6
Thai Vietjet Air	TVJ	VZ
Smartwings Hungary Kft	TVL	7O[54]
Air Burkina	VBW	2J
Asiana Airlines	AAR	OZ
Air Busan	ABL	BX
Heli Transair European Air Services GmbH	HTA	9I
Mongolian Airlines	MGL	OM
Ohl Air Charterflug	ECA	UI
Wizz Air Malta Limited	WMT	W4
Alaska Airlines	ASA	AS
Mesa Aviation Services	ASH	YV
Expressjet Airlines	ASQ	EV
America West	AWE	US
Bering Air	BRG	8E
Cargolux Italia	ICV	C8
Air Italy	ISS	IG
Islena De Inversiones	ISV	WC
Islas Airways	ISW	IF
Jazz Aviation Lp	JZA	QK
Air Koryo	KOR	JS
He Nan Airlines	KPA	VD
Kenya Airways	KQA	KQ
Air Astana	KZR	KC
ULS Airlines Cargo	KZU	GO
Air Kyrgyzstan	LYN	QH
Air Serbia	ASL	JU
Kish Air	IRK	Y9
Mandarin Airlines	MDA	AE
Royal Air Force Of Oman	MJN	RS
Airasia Sdn Bhd	AXM	AK
Aero Contractors Company Of Nigeria	NIG	AJ
Helisul	BBO	F7
Flying Lamm	FLM	F2
Pilbara Airlines	PBA	9Q
Northwestern Air Lease	PLR	J3
Platoon Aviation GmbH	PTN	P8
Private Wings Flugcharter GmbH Berlin	PWF	8W
Faso Airways Sarl	FSW	F3
Nord Wind	NWS	N4
Nepal Airlines Corporation	RNA	RA
Ultra Air	ULS	U0
Yuzmashavia	UMK	2N
Smm Flight Services Sa De Cv	SMY	ZS
Brittany Air	BZH	DB
Syrian Arab Airlines	SYR	RB
Rossiya Airlines	SDM	FV
Airlines Of Papua New Guinea	TOK	CG
Tropic Air	TOS	PM
Transportes Aereos Mercantiles Panamericanos	TPA	QT
Air Caledonie	TPC	TY
Tigerair Taiwan  Ld	TTW	IT
Uganda Airlines Corporation	UGA	U7
Uganda National Airlines Company Limited	UGD	UR
African Airlines Corporation	AAW	8U
Aeolus Air Limited	AAZ	KJ
Atlantic Airlines	BJK	EX
Bankair	BKA	B4
Centurion Air Cargo	CWC	WE
Friendship Airways	EMJ	Y0
Envoy Air	ENY	MQ
Florida West International Airways	FWL	RF
Miami Air International	BSK	LL
Big Sky Airlines	BSY	GQ
Baltia Air Lines	BTL	BQ
Grant Aviation	GUN	GV
Lynden Air Cargo	LYC	L2
Blue Dart Aviation	BDA	BZ
XL Airways UK	XLA	JN
USAF 89th Airlift Wing Andrews Air Force Base	SAM	MM
Express Air Cargo	XRC	7A
Skyroads Aviation	SIH	SI
Myanmar National Airlines	UBA	UB
Ur Airlines	UBD	4H
Usbangla Airlines	UBG	BS
Conviasa	VCV	V0
Ocean Airlines	VCX	VC
Viva Macau Limited	VVM	ZG
Avirex Gabon	VXG	G2
Airasia Japan	WAJ	DJ
Aviacsa	CHP	6A
Atlas Air	GTI	5Y
Republic Airlines	RPA	RW
Air Sunshine Inc	RSI	YI
Sky West Aviation	SKW	OO
Air Cargo Carriers	SNC	2Q
Seaport Airlines	SQH	K5
Lynx Aviation	SSX	L4
Southwest Airlines	SWA	WN
Trifly	SWD	A4
Iaero Airways Dba Swift Air	SWQ	WQ
Taquan Air Services	TQN	K3
United Airlines	UAL	UA
Commutair	UCA	C5
United Parcel Service Company	UPS	5X
US Helicopter Corp	USH	UH
Vieques Air Link	VES	V4
Virgin America	VRD	VX
Corporate Flight Management	VTE	LF
Tem Enterprises	VXP	XP
Aviator College Of Aeronautical Science And Technology	WCP	FE
Chicago Jet Group	WDY	C8
Williams Air	WLS	WL
World Airways	WOA	WO
Wright Air Service	WRF	8V
Aeko Kula	AAH	KH
American Airlines	AAL	AA
Allegiant Air	AAY	G4
Travel Express Aviation Services	XAR	XN
Aerolink Uganda Limited	XAU	A8
Airasia X Sdn Bhd	XAX	D7
Seaborne Airlines	SBS	BB
Skywest Charter	SCW	TF
Sun Country Airlines	SCX	SY
Island Express	SDY	2S
Horizon Air Industries	QXE	QX
Vision Airlines	RBY	V2
Air Mobility Command	RCH	MC
Tradecraft Flying Service	RGL	FN
Ryan Air	RYA	7S
Ryan Aviation Corporation	RYN	RD
Suparna Airlines	YZR	Y8
Zambia Skyways Limited	ZAK	K8
